,sell_type,car_type,year,traction,price,km,range,max_vel,zero_hundred
0,Nuevo,Model S,Model S,"Model S, tracción a las cuatro ruedas",89.100 €,Cuentakilómetros con 6196 km,634,250,"3,2"
1,Nuevo,Model S,Model S,"Model S, tracción a las cuatro ruedas",99.600 €,Cuentakilómetros con 503 km,634,250,"3,2"
2,Nuevo,Model S,Model S,Plaid,101.700 €,Cuentakilómetros con 3652 km,600,322,"2,1"
3,Nuevo,Model S,Model S,"Model S, tracción a las cuatro ruedas",102.270 €,Cuentakilómetros con 99 km,634,250,"3,2"
4,Nuevo,Model S,Model S,"Model S, tracción a las cuatro ruedas",102.270 €,,634,250,"3,2"
5,Nuevo,Model S,Model S,Plaid,102.970 €,Cuentakilómetros con 1700 km,600,322,"2,1"
6,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,35.800 €,Cuentakilómetros con 5390 km,513,201,"6,1"
7,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,35.830 €,Cuentakilómetros con 4849 km,513,201,"6,1"
8,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,35.860 €,Cuentakilómetros con 5033 km,513,201,"6,1"
9,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,35.940 €,Cuentakilómetros con 4669 km,513,201,"6,1"
10,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,35.980 €,Cuentakilómetros con 4471 km,513,201,"6,1"
11,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.160 €,Cuentakilómetros con 6081 km,513,201,"6,1"
12,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.310 €,Cuentakilómetros con 2761 km,513,201,"6,1"
13,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.380 €,Cuentakilómetros con 10 km,513,201,"6,1"
14,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.470 €,,513,201,"6,1"
15,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.470 €,,513,201,"6,1"
16,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.470 €,Cuentakilómetros con 2273 km,513,201,"6,1"
17,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.550 €,Cuentakilómetros con 2276 km,513,201,"6,1"
18,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.560 €,Cuentakilómetros con 5952 km,513,201,"6,1"
19,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.670 €,Cuentakilómetros con 1920 km,513,201,"6,1"
20,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,36.980 €,Cuentakilómetros con 6818 km,513,201,"6,1"
21,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,37.060 €,Cuentakilómetros con 6840 km,513,201,"6,1"
22,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,37.210 €,Cuentakilómetros con 11 km,513,201,"6,1"
23,Nuevo,Model 3,Model 3,Model 3 Tracción trasera,37.380 €,Cuentakilómetros con 5249 km,513,201,"6,1"
