car_type,price,Ubicación,Tipo de vehículo,year,km,Link
TESLA Model 3 Estandar Plus RWD,27.490 €,Barcelona,Eléctrico,2020,127.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2021-en-barcelona-59473401-covo.aspx
TESLA Model Y Traccion Trasera RWD,39.900 €,A Coruña,Eléctrico,2023,46.686 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-/-hibrido-2021-en-a-coruna-59213550-covo.aspx
TESLA Model 3 Gran Autonomia AWD,31.990 €,Barcelona,Eléctrico,2021,110.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-barcelona-59306995-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.900 €,Barcelona,Eléctrico,2020,95.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-barcelona-59134914-covo.aspx
TESLA Model Y Traccion Trasera RWD,41.900 €,Almería,Eléctrico,2023,12.000 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-/-hibrido-2021-en-almeria-57997714-covo.aspx
TESLA Model X 100D 4WD,43.700 €,Vizcaya,Eléctrico,2018,98.000 km,/tesla-model-x-100d-4wd-5p-electrico-/-hibrido-2018-en-vizcaya-58464093-covo.aspx
TESLA Model 3 Performance 4WD,32.890 €,Madrid,Eléctrico,2020,65.090 km,/tesla-model-3-performance-4wd-4p-electrico-hibrido-2021-en-madrid-59061009-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,32.975 €,Barcelona,Eléctrico,2021,69.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-barcelona-58969420-covo.aspx
TESLA Model 3 Performance AWD,30.490 €,Madrid,Eléctrico,2019,71.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59168274-covo.aspx
TESLA Model 3 Performance 4WD,32.890 €,Madrid,Eléctrico,2020,65.090 km,/tesla-model-3-performance-4wd-4p-electrico-hibrido-2021-en-madrid-59414028-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,32.490 €,Madrid,Eléctrico,2021,60.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-madrid-59507088-covo.aspx
TESLA Model 3 Performance AWD,30.900 €,Madrid,Eléctrico,2020,64.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2020-en-madrid-58828321-covo.aspx
TESLA Model X Gran Autonomia 4WD,41.990 €,Girona,Eléctrico,2020,180.000 km,/tesla-model-x-gran-autonomia-4wd-electrico-hibrido-2020-en-girona-54522043-covo.aspx
TESLA Model 3 Gran Autonomia AWD,28.900 €,Málaga,Eléctrico,2021,115.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-malaga-59528528-covo.aspx
TESLA Model X Gran Autonomia Plus 4WD,49.900 €,Madrid,Eléctrico,2021,79.000 km,/tesla-model-x-gran-autonomia-plus-4wd-5p-electrico-hibrido-2021-en-madrid-58661080-covo.aspx
TESLA Model 3 Estandar Plus RWD,19.990 €,Madrid,Eléctrico,2019,139.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-madrid-59432133-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.890 €,A Coruña,Eléctrico,2021,68.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-a-coruna-59299511-covo.aspx
TESLA Model 3 RWD,33.000 €,Huelva,Eléctrico,2023,23.000 km,/tesla-model-3-rwd-4p-electrico-hibrido-2023-en-huelva-59439421-covo.aspx
TESLA Model X Gran Autonomia 4WD 5p.,49.900 €,Valencia,Eléctrico,2020,38.000 km,/tesla-model-x-gran-autonomia-4wd-5p-electrico-hibrido-2020-en-valencia-58825015-covo.aspx
TESLA Model X Gran Autonomia 4WD,50.000 €,Navarra,Eléctrico,2019,120.000 km,/tesla-model-x-gran-autonomia-4wd-5p-electrico-hibrido-2019-en-navarra-58226808-covo.aspx
TESLA Model 3 RWD,41.500 €,Sevilla,Eléctrico,2024,2490 km,/tesla-model-3-rwd-4p-electrico-/-hibrido-2024-en-sevilla-58985685-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.490 €,Madrid,Eléctrico,2019,160.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-59526543-covo.aspx
TESLA Model 3 Gran Autonomia AWD,25.990 €,Madrid,Eléctrico,2019,147.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59372496-covo.aspx
TESLA Model 3 Gran Autonomia AWD,28.700 €,Madrid,Eléctrico,2022,90.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-madrid-59011501-covo.aspx
TESLA Model 3 Estandar Plus RWD,21.199 €,Barcelona,Eléctrico,2019,143.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-barcelona-59460744-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,27.800 €,Sevilla,Eléctrico,2021,98.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-malaga-58142646-covo.aspx
TESLA Model X 75D 4WD,31.900 €,Málaga,Eléctrico,2017,200.000 km,/tesla-model-x-75d-4wd-5p-electrico-hibrido-2017-en-malaga-59031679-covo.aspx
TESLA Model 3 Performance AWD,28.990 €,A Coruña,Eléctrico,2019,127.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-a-coruna-59521511-covo.aspx
TESLA Model S 75D 4WD,29.900 €,Madrid,Eléctrico,2019,138.000 km,/tesla-model-s-75d-4wd-5p-electrico-/-hibrido-2018-en-madrid-59212627-covo.aspx
TESLA Model 3 Gran Autonomia AWD,49.900 €,Valencia,Eléctrico,2024,11.900 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2024-en-valencia-58835968-covo.aspx
TESLA Model 3 Gran Autonomia 4WD 4p.,30.900 €,Vizcaya,Eléctrico,2021,135.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-vizcaya-58401389-covo.aspx
TESLA Model S 75D 4WD,46.500 €,Barcelona,Eléctrico,2019,37.500 km,/tesla-model-s-75d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-57345542-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.990 €,Almería,Eléctrico,2022,60.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-almeria-59526199-covo.aspx
TESLA Model S Gran Autonomia 4WD,40.500 €,Madrid,Eléctrico,2020,97.250 km,/tesla-model-s-gran-autonomia-4wd-5p-electrico-hibrido-2019-en-madrid-59542278-covo.aspx
