,sell_type,car_type,year,price,km
0,Nuevo,Model S,2024,99600.0,503.0
1,Nuevo,Model S,2024,102270.0,99.0
2,Nuevo,Model S,2024,102270.0,0.0
3,Nuevo,Model S,2024,90340.0,577.0
4,Nuevo,Model S,2024,101050.0,3652.0
5,Nuevo,Model S,2024,102320.0,1700.0
6,Nuevo,Model S,2024,88890.0,6198.0
7,Nuevo,Model S,2024,90050.0,997.0
8,Nuevo,Model S,2024,115240.0,21.0
9,Nuevo,Model S,2024,90750.0,1393.0
10,Nuevo,Model S,2024,91610.0,27.0
11,Nuevo,Model S,2024,102330.0,0.0
12,Nuevo,Model S,2024,116660.0,20.0
13,Nuevo,Model S,2024,97500.0,17.0
14,Nuevo,Model S,2024,111430.0,25.0
15,Nuevo,Model 3,2024,39120.0,0.0
16,Nuevo,Model 3,2024,42600.0,2203.0
17,Nuevo,Model 3,2024,43560.0,4790.0
18,Nuevo,Model 3,2024,45470.0,0.0
19,Nuevo,Model 3,2024,46570.0,440.0
20,Nuevo,Model 3,2024,49070.0,21.0
21,Nuevo,Model 3,2024,38770.0,0.0
22,Nuevo,Model 3,2024,43750.0,0.0
23,Nuevo,Model 3,2024,44370.0,0.0
24,Nuevo,Model 3,2024,45220.0,223.0
25,Nuevo,Model 3,2024,54580.0,3853.0
26,Nuevo,Model 3,2024,55320.0,1726.0
27,Nuevo,Model 3,2024,59770.0,0.0
28,Nuevo,Model 3,2024,60820.0,0.0
29,Nuevo,Model 3,2024,36190.0,6578.0
30,Nuevo,Model 3,2024,36390.0,5580.0
31,Nuevo,Model 3,2024,37770.0,0.0
32,Nuevo,Model 3,2024,39120.0,0.0
33,Nuevo,Model 3,2024,45700.0,26.0
34,Nuevo,Model 3,2024,46530.0,0.0
35,Nuevo,Model 3,2024,46600.0,3382.0
36,Nuevo,Model 3,2024,46770.0,0.0
37,Nuevo,Model 3,2024,59770.0,0.0
38,Nuevo,Model 3,2024,38280.0,3906.0
39,Nuevo,Model 3,2024,39120.0,0.0
40,Nuevo,Model 3,2024,46770.0,0.0
41,Nuevo,Model 3,2024,48120.0,0.0
42,Nuevo,Model 3,2024,48370.0,0.0
43,Nuevo,Model 3,2024,49420.0,0.0
44,Nuevo,Model 3,2024,54860.0,3325.0
45,Nuevo,Model 3,2024,55950.0,13.0
46,Nuevo,Model 3,2024,60820.0,0.0
47,Nuevo,Model 3,2024,36990.0,6018.0
48,Nuevo,Model 3,2024,38080.0,39.0
49,Nuevo,Model 3,2024,38470.0,0.0
50,Nuevo,Model 3,2024,43730.0,7566.0
51,Nuevo,Model 3,2024,43920.0,6630.0
52,Nuevo,Model 3,2024,45280.0,1202.0
53,Nuevo,Model 3,2024,45650.0,0.0
54,Nuevo,Model 3,2024,45890.0,4446.0
55,Nuevo,Model 3,2024,46990.0,13.0
56,Nuevo,Model 3,2024,47470.0,0.0
57,Nuevo,Model 3,2024,38470.0,0.0
58,Nuevo,Model 3,2024,38520.0,15.0
59,Nuevo,Model 3,2024,44320.0,2051.0
60,Nuevo,Model X,2024,95670.0,3649.0
61,Nuevo,Model X,2024,99960.0,5936.0
62,Nuevo,Model X,2024,100720.0,1015.0
63,Nuevo,Model X,2024,102640.0,1405.0
64,Nuevo,Model X,2024,104370.0,0.0
65,Nuevo,Model X,2024,106050.0,34.0
66,Nuevo,Model X,2024,106620.0,3295.0
67,Nuevo,Model X,2024,110270.0,0.0
68,Nuevo,Model X,2024,111440.0,60.0
69,Nuevo,Model X,2024,115670.0,0.0
70,Nuevo,Model X,2024,118070.0,0.0
71,Nuevo,Model X,2024,118070.0,92.0
72,Nuevo,Model X,2024,100340.0,4086.0
73,Nuevo,Model X,2024,102020.0,5897.0
74,Nuevo,Model X,2024,109710.0,3229.0
75,Nuevo,Model X,2024,116170.0,0.0
76,Nuevo,Model X,2024,119670.0,0.0
77,Nuevo,Model X,2024,104520.0,208.0
78,Nuevo,Model X,2024,113820.0,33.0
79,Nuevo,Model X,2024,118070.0,0.0
80,Nuevo,Model X,2024,109540.0,23.0
81,Nuevo,Model X,2024,111750.0,33.0
82,Nuevo,Model X,2024,118720.0,0.0
83,Nuevo,Model X,2024,119820.0,25.0
84,Nuevo,Model Y,2024,42150.0,18.0
85,Nuevo,Model Y,2024,44260.0,0.0
86,Nuevo,Model Y,2024,44390.0,6314.0
87,Nuevo,Model Y,2024,45310.0,0.0
88,Nuevo,Model Y,2024,45350.0,8812.0
89,Nuevo,Model Y,2024,45420.0,8298.0
90,Nuevo,Model Y,2024,45660.0,1317.0
91,Nuevo,Model Y,2024,46360.0,0.0
92,Nuevo,Model Y,2024,46760.0,0.0
93,Nuevo,Model Y,2024,46840.0,1991.0
94,Nuevo,Model Y,2024,47490.0,4462.0
95,Nuevo,Model Y,2024,47910.0,2707.0
96,Nuevo,Model Y,2024,48010.0,7086.0
97,Nuevo,Model Y,2024,49000.0,2036.0
98,Nuevo,Model Y,2024,49440.0,967.0
99,Nuevo,Model Y,2024,49740.0,55.0
100,Nuevo,Model Y,2024,49790.0,401.0
101,Nuevo,Model Y,2024,51760.0,0.0
102,Nuevo,Model Y,2024,51760.0,0.0
103,Nuevo,Model Y,2024,52950.0,26.0
104,Nuevo,Model Y,2024,54910.0,565.0
105,Nuevo,Model Y,2024,55070.0,0.0
106,Nuevo,Model Y,2024,55140.0,2291.0
107,Nuevo,Model Y,2024,55280.0,9.0
108,Nuevo,Model Y,2024,55640.0,0.0
109,Nuevo,Model Y,2024,56120.0,0.0
110,Nuevo,Model Y,2024,56420.0,0.0
111,Nuevo,Model Y,2024,58280.0,7.0
112,Nuevo,Model Y,2024,58870.0,0.0
