,sell_type,car_type,year,color,country,traction,price,km,range,max_vel,zero_hundred
0,Nuevo,Model S,2024,WHITE,spain,"Model S, tracción a las cuatro ruedas",99.600 €,Cuentakilómetros con 503 km,634.0,250.0,"3,2"
1,Nuevo,Model S,2024,WHITE,spain,"Model S, tracción a las cuatro ruedas",102.270 €,Cuentakilómetros con 99 km,634.0,250.0,"3,2"
2,Nuevo,Model S,2024,WHITE,spain,"Model S, tracción a las cuatro ruedas",102.270 €,0,634.0,250.0,"3,2"
3,Nuevo,Model S,2024,BLACK,spain,"Model S, tracción a las cuatro ruedas",90.340 €,Cuentakilómetros con 577 km,634.0,250.0,"3,2"
4,Nuevo,Model S,2024,BLACK,spain,Plaid,101.050 €,Cuentakilómetros con 3652 km,600.0,322.0,"2,1"
5,Nuevo,Model S,2024,BLACK,spain,Plaid,102.320 €,Cuentakilómetros con 1700 km,600.0,322.0,"2,1"
6,Nuevo,Model S,2024,BLUE,spain,"Model S, tracción a las cuatro ruedas",88.890 €,Cuentakilómetros con 6198 km,634.0,250.0,"3,2"
7,Nuevo,Model S,2024,BLUE,spain,"Model S, tracción a las cuatro ruedas",90.050 €,Cuentakilómetros con 997 km,634.0,250.0,"3,2"
8,Nuevo,Model S,2024,BLUE,spain,Plaid,115.240 €,Cuentakilómetros con 21 km,600.0,322.0,"2,1"
9,Nuevo,Model S,2024,GREY,spain,"Model S, tracción a las cuatro ruedas",90.750 €,Cuentakilómetros con 1393 km,634.0,250.0,"3,2"
10,Nuevo,Model S,2024,GREY,spain,"Model S, tracción a las cuatro ruedas",91.610 €,Cuentakilómetros con 27 km,634.0,250.0,"3,2"
11,Nuevo,Model S,2024,GREY,spain,"Model S, tracción a las cuatro ruedas",102.330 €,Cuentakilómetros con 0 km,634.0,250.0,"3,2"
12,Nuevo,Model S,2024,GREY,spain,Plaid,116.660 €,Cuentakilómetros con 20 km,600.0,322.0,"2,1"
13,Nuevo,Model S,2024,SILVER,spain,"Model S, tracción a las cuatro ruedas",97.500 €,Cuentakilómetros con 17 km,634.0,250.0,"3,2"
14,Nuevo,Model S,2024,SILVER,spain,Plaid,111.430 €,Cuentakilómetros con 25 km,600.0,322.0,"2,1"
15,Nuevo,Model 3,2024,WHITE,spain,Model 3 Tracción trasera,39.120 €,0,513.0,201.0,"6,1"
16,Nuevo,Model 3,2024,WHITE,spain,Gran autonomía con tracción integral,42.600 €,Cuentakilómetros con 2203 km,629.0,201.0,"4,4"
17,Nuevo,Model 3,2024,WHITE,spain,Gran autonomía con tracción integral,43.560 €,Cuentakilómetros con 4790 km,629.0,201.0,"4,4"
18,Nuevo,Model 3,2024,WHITE,spain,Gran autonomía con tracción integral,45.470 €,0,629.0,201.0,"4,4"
19,Nuevo,Model 3,2024,WHITE,spain,Gran autonomía con tracción integral,46.570 €,Cuentakilómetros con 440 km,629.0,201.0,"4,4"
20,Nuevo,Model 3,2024,WHITE,spain,Gran autonomía con tracción integral,49.070 €,Cuentakilómetros con 21 km,629.0,201.0,"4,4"
21,Nuevo,Model 3,2024,BLACK,spain,Model 3 Tracción trasera,38.770 €,0,513.0,201.0,"6,1"
22,Nuevo,Model 3,2024,BLACK,spain,Gran autonomía con tracción integral,43.750 €,0,629.0,201.0,"4,4"
23,Nuevo,Model 3,2024,BLACK,spain,Model 3 Gran autonomía con tracción trasera,44.370 €,0,640.0,201.0,"5,2"
24,Nuevo,Model 3,2024,BLACK,spain,Gran autonomía con tracción integral,45.220 €,Cuentakilómetros con 223 km,629.0,201.0,"4,4"
25,Nuevo,Model 3,2024,BLACK,spain,Performance con tracción a las cuatro ruedas,54.580 €,Cuentakilómetros con 3853 km,528.0,262.0,"3,1"
26,Nuevo,Model 3,2024,BLACK,spain,Performance con tracción a las cuatro ruedas,55.320 €,Cuentakilómetros con 1726 km,528.0,262.0,"3,1"
27,Nuevo,Model 3,2024,BLACK,spain,Performance con tracción a las cuatro ruedas,59.770 €,0,528.0,262.0,"3,1"
28,Nuevo,Model 3,2024,BLACK,spain,Performance con tracción a las cuatro ruedas,60.820 €,0,528.0,262.0,"3,1"
29,Nuevo,Model 3,2024,BLUE,spain,Model 3 Tracción trasera,36.190 €,Cuentakilómetros con 6578 km,513.0,201.0,"6,1"
30,Nuevo,Model 3,2024,BLUE,spain,Model 3 Tracción trasera,36.390 €,Cuentakilómetros con 5580 km,513.0,201.0,"6,1"
31,Nuevo,Model 3,2024,BLUE,spain,Model 3 Tracción trasera,37.770 €,0,513.0,201.0,"6,1"
32,Nuevo,Model 3,2024,BLUE,spain,Model 3 Tracción trasera,39.120 €,0,513.0,201.0,"6,1"
33,Nuevo,Model 3,2024,BLUE,spain,Gran autonomía con tracción integral,45.700 €,Cuentakilómetros con 26 km,629.0,201.0,"4,4"
34,Nuevo,Model 3,2024,BLUE,spain,Gran autonomía con tracción integral,46.530 €,0,629.0,201.0,"4,4"
35,Nuevo,Model 3,2024,BLUE,spain,Gran autonomía con tracción integral,46.600 €,Cuentakilómetros con 3382 km,629.0,201.0,"4,4"
36,Nuevo,Model 3,2024,BLUE,spain,Gran autonomía con tracción integral,46.770 €,0,629.0,201.0,"4,4"
37,Nuevo,Model 3,2024,BLUE,spain,Performance con tracción a las cuatro ruedas,59.770 €,0,528.0,262.0,"3,1"
38,Nuevo,Model 3,2024,GREY,spain,Model 3 Tracción trasera,38.280 €,Cuentakilómetros con 3906 km,513.0,201.0,"6,1"
39,Nuevo,Model 3,2024,GREY,spain,Model 3 Tracción trasera,39.120 €,0,513.0,201.0,"6,1"
40,Nuevo,Model 3,2024,GREY,spain,Gran autonomía con tracción integral,46.770 €,0,629.0,201.0,"4,4"
