,car_type,year,price,km
0,TESLA - MODEL 3,2020,29.900 €,65.000 kms
1,TESLA - MODEL 3,2020,20.900 €,168.000 kms
2,TESLA - MODEL 3,2021,32.975 €,69.000 kms
3,TESLA - MODEL 3,2021,34.990 €,30.686 kms
4,TESLA - MODEL 3,2021,28.475 €,72.000 kms
5,TESLA - MODEL S 75,2017,26.475 €,109.000 kms
6,TESLA - MODEL X 90D 4WD,2017,34.990 €,114.038 kms
7,TESLA - MODEL S LUDICROUS PERFORMANCE 4WD,2020,56.990 €,66.056 kms
8,TESLA - MODEL S LUDICROUS PERFORMANCE 4WD,2020,48.990 €,38.091 kms
9,TESLA - MODEL X P100D 4WD,2018,43.990 €,84.179 kms
10,TESLA - MODEL Y,2024,30.470 €,0 kms
11,TESLA - MODEL Y,2024,33.999 €,30.000 kms
12,TESLA - MODEL Y,2023,42.900 €,45.000 kms
13,TESLA - MODEL Y,2023,49.995 €,25.700 kms
14,TESLA - MODEL Y,2022,34.990 €,28.400 kms
15,TESLA - MODEL Y,2023,43.800 €,32.000 kms
16,TESLA - MODEL Y,2023,38.900 €,19.000 kms
17,TESLA - TESLA MODEL S P 85,2013,24.990 €,442.000 kms
18,TESLA - MODEL Y,2023,44.900 €,40.000 kms
19,TESLA - MODEL 3,2022,35.500 €,44.580 kms
20,TESLA - MODEL 3,2019,26.900 €,80.000 kms
21,TESLA - MODEL X,2020,53.500 €,93.000 kms
22,TESLA - MODEL S,2018,35.500 €,91.000 kms
23,TESLA - MODEL 3,2020,29.450 €,62.000 kms
24,TESLA - MODEL 3,2020,25.750 €,125.000 kms
25,TESLA - MODEL 3,2020,35.990 €,56.250 kms
26,TESLA - MODEL 3,2020,26.990 €,138.000 kms
27,TESLA - MODEL 3,2019,20.990 €,115.000 kms
28,TESLA - MODEL 3,2019,26.900 €,127.000 kms
29,TESLA - MODEL 3,2022,28.995 €,56.064 kms
30,TESLA - MODEL 3,2020,32.999 €,72.500 kms
31,TESLA - MODEL 3,2019,19.990 €,119.900 kms
32,TESLA - MODEL 3,2024,25.970 €,0 kms
33,TESLA - MODEL 3,2022,33.998 €,57.525 kms
34,TESLA - MODEL 3,2019,29.990 €,78.000 kms
35,TESLA - MODEL 3,2019,22.000 €,141.000 kms
36,TESLA - MODEL 3,2019,21.999 €,104.000 kms
37,TESLA - MODEL 3,2021,34.990 €,65.000 kms
38,TESLA - MODEL 3,2021,32.990 €,44.983 kms
39,TESLA - MODEL 3,2020,28.999 €,70.000 kms
40,TESLA - MODEL 3,2022,29.790 €,57.671 kms
41,TESLA - MODEL S,2018,45.900 €,41.000 kms
42,TESLA - MODEL 3,2022,37.900 €,55.000 kms
43,TESLA - MODEL 3,2020,37.890 €,74.862 kms
44,TESLA - MODEL 3,2020,27.990 €,45.063 kms
45,TESLA - MODEL 3,2019,25.990 €,147.000 kms
46,TESLA - MODEL 3,2019,21.750 €,98.000 kms
47,TESLA - MODEL 3,2020,22.700 €,160.000 kms
48,TESLA MODEL 3,2021,29.500 €,80.325 kms
49,TESLA - MODEL 3,2024,32.000 €,26.000 kms
50,TESLA - MODEL 3,2024,44.900 €,16.700 kms
51,TESLA - MODEL 3,2019,23.990 €,190.000 kms
52,TESLA - MODEL 3,2019,23.990 €,190.000 kms
53,TESLA - MODEL 3,2020,26.990 €,97.000 kms
54,TESLA - MODEL 3,2020,24.500 €,130.000 kms
55,TESLA - MODEL 3,2022,30.990 €,39.398 kms
56,TESLA - MODEL 3,2019,29.500 €,135.000 kms
57,TESLA - MODEL X,2018,39.500 €,90.000 kms
58,TESLA - MODEL 3,2023,37.990 €,12 kms
59,TESLA - MODEL 3,2020,36.900 €,33.000 kms
60,TESLA - MODEL 3,2019,23.500 €,76.000 kms
61,TESLA - MODEL 3,2019,25.000 €,140.000 kms
62,TESLA - MODEL 3,2019,28.990 €,172.000 kms
63,TESLA - MODEL 3,2019,19.990 €,139.000 kms
64,TESLA - MODEL 3,2019,20.990 €,115.000 kms
65,TESLA - MODEL 3,2019,19.990 €,139.000 kms
66,TESLA - MODEL 3,2024,29.000 €,100 kms
67,TESLA - MODEL 3,2022,35.200 €,39.000 kms
68,TESLA - MODEL 3,2019,24.999 €,71.000 kms
69,TESLA - MODEL 3,2021,26.500 €,90.000 kms
70,TESLA - MODEL 3,2021,33.990 €,40.000 kms
71,TESLA - MODEL S,2017,35.990 €,149.000 kms
72,TESLA - MODEL 3,2023,30.990 €,45.825 kms
73,TESLA - MODEL 3,2020,32.890 €,65.090 kms
74,TESLA - MODEL 3,2020,27.490 €,127.000 kms
75,TESLA - MODEL 3,2022,30.990 €,39.398 kms
76,TESLA - MODEL 3,2019,29.990 €,90.000 kms
77,TESLA - MODEL 3,2022,30.990 €,39.398 kms
78,TESLA - MODEL 3,2020,27.990 €,97.000 kms
79,TESLA - MODEL 3,2020,29.850 €,26.000 kms
80,TESLA - MODEL 3,2019,24.990 €,164.000 kms
81,TESLA - MODEL 3,2021,32.900 €,32.000 kms
82,TESLA MODEL S,2017,23.000 €,180.000 kms
83,TESLA - MODEL 3,2022,35.200 €,39.000 kms
84,TESLA - MODEL 3,2021,26.500 €,90.000 kms
85,TESLA - MODEL S,2019,39.000 €,120.000 kms
86,TESLA - MODEL 3,2024,37.990 €,421 kms
87,TESLA - MODEL 3,2019,33.490 €,23.832 kms
88,TESLA - MODEL 3,2019,29.990 €,165.000 kms
89,TESLA - MODEL 3,2022,35.000 €,60.000 kms
90,TESLA - MODEL 3,2021,32.990 €,32.000 kms
91,TESLA - MODEL 3,2019,25.990 €,153.000 kms
92,TESLA - MODEL 3,2020,27.990 €,172.000 kms
93,TESLA - MODEL 3,2020,25.490 €,179.000 kms
94,TESLA - MODEL 3,2019,23.990 €,190.000 kms
95,TESLA - MODEL 3,2021,32.980 €,63.776 kms
96,TESLA - MODEL 3,2023,37.890 €,55.852 kms
97,TESLA - MODEL 3,2023,37.890 €,55.852 kms
98,TESLA MODEL S,2018,30.900 €,125.000 kms
99,TESLA MODEL S,2017,25.000 €,164.000 kms
100,TESLA - MODEL S,2014,18.300 €,203.000 kms
101,TESLA - MODEL 3,2019,22.900 €,133.000 kms
102,TESLA - MODEL 3,2022,29.900 €,45.000 kms
103,TESLA - MODEL 3,2020,25.990 €,86.000 kms
104,TESLA - MODEL X,2020,69.900 €,66.000 kms
105,TESLA - MODEL 3,2020,29.850 €,27.000 kms
106,TESLA - MODEL 3,2020,28.490 €,47.479 kms
107,TESLA - MODEL X,2018,36.900 €,96.700 kms
108,TESLA - MODEL Y,2022,44.490 €,42.500 kms
109,TESLA MODEL 3,2021,30.300 €,83.862 kms
110,TESLA - MODEL 3,2019,21.500 €,149.000 kms
111,TESLA - MODEL 3,2020,30.900 €,64.000 kms
112,TESLA - MODEL 3,2020,27.400 €,61.000 kms
113,TESLA - MODEL 3,2022,30.990 €,39.398 kms
114,TESLA - MODEL 3,2019,21.000 €,130.000 kms
115,TESLA - MODEL 3,2019,26.000 €,104.000 kms
116,TESLA - MODEL 3,2021,32.990 €,44.983 kms
117,TESLA - MODEL S,2020,57.500 €,70.000 kms
118,TESLA MODEL 3,2024,34.000 €,1.800 kms
119,TESLA - MODEL 3,2020,25.900 €,129.000 kms
120,TESLA - MODEL 3,2022,32.750 €,35.346 kms
121,TESLA MODEL 3,2020,23.500 €,196.000 kms
122,TESLA - MODEL 3,2020,25.000 €,149.000 kms
123,TESLA - MODEL S,2012,46.500 €,69.000 kms
124,TESLA MODEL 3,2021,28.900 €,115.000 kms
125,TESLA - MODEL 3,2019,24.490 €,160.000 kms
126,TESLA MODEL 3,2024,45.000 €,3.000 kms
127,TESLA - MODEL 3,2021,32.990 €,74.910 kms
128,TESLA - MODEL 3,2022,29.990 €,60.000 kms
129,TESLA - MODEL 3,2024,50 €,50 kms
130,TESLA - MODEL 3,2019,28.990 €,127.000 kms
131,TESLA - MODEL S,2017,23.999 €,199.190 kms
132,TESLA - MODEL Y,2022,34.990 €,28.400 kms
133,TESLA MODEL S,2017,31.500 €,182.000 kms
134,TESLA MODEL 3,2022,29.000 €,137.000 kms
135,TESLA - MODEL 3,2022,32.000 €,60.000 kms
136,TESLA - MODEL Y,2024,40.990 €,11.421 kms
137,TESLA - MODEL Y,2024,40.990 €,11.421 kms
138,TESLA MODEL S,2019,38.900 €,39.000 kms
139,TESLA - MODEL 3,2024,28.000 €,200 kms
140,TESLA - MODEL 3,2020,23.999 €,99.999 kms
141,TESLA - MODEL 3,2022,28.995 €,56.064 kms
142,TESLA - MODEL 3,2022,26.000 €,23.000 kms
143,TESLA - MODEL 3,2022,23.990 €,147.000 kms
144,TESLA - MODEL S 85,2014,23.000 €,230.000 kms
145,TESLA - MODEL 3,2021,32.490 €,60.000 kms
146,TESLA - MODEL 3,2022,31.900 €,65.672 kms
147,TESLA MODEL 3,2022,29.800 €,40.500 kms
148,TESLA - MODEL 3,2021,33.999 €,8.000 kms
149,TESLA - MODEL 3,2022,31.820 €,30.797 kms
150,TESLA - MODEL 3,2021,34.990 €,62.113 kms
151,TESLA - MODEL 3,2020,17.900 €,201.000 kms
152,TESLA - MODEL 3,2020,24.850 €,128.000 kms
153,TESLA - MODEL 3,2019,26.490 €,81.803 kms
154,TESLA - MODEL 3,2020,24.850 €,128.000 kms
155,TESLA - MODEL 3,2020,26.850 €,77.000 kms
156,TESLA - MODEL 3,2020,29.850 €,26.000 kms
157,TESLA - MODEL 3,2019,31.000 €,147.000 kms
158,TESLA - MODEL 3,2021,40.900 €,37.900 kms
159,TESLA - MODEL 3,2020,26.850 €,77.000 kms
160,TESLA - MODEL X PERFORMANCE,2020,58.590 €,34.162 kms
161,TESLA - MODEL 3,2020,21.500 €,129.446 kms
162,TESLA - MODEL X PERFORMANCE,2020,58.590 €,34.162 kms
163,TESLA MODEL 3,2023,36.400 €,37.000 kms
164,TESLA MODEL 3,2020,20.999 €,83.000 kms
165,TESLA - MODEL X,2018,42.000 €,64.000 kms
166,TESLA - MODEL S,2017,68.900 €,50.000 kms
167,TESLA - MODEL 3,2020,22.490 €,90.000 kms
168,TESLA - MODEL 3,2022,31.900 €,65.672 kms
169,TESLA MODEL 3,2021,26.900 €,97.000 kms
170,TESLA - MODEL 3,2021,32.490 €,36.000 kms
171,TESLA - MODEL 3,2020,32.890 €,65.090 kms
172,TESLA - MODEL S,2018,40.000 €,180.000 kms
173,TESLA - MODEL 3,2020,27.490 €,27.277 kms
174,TESLA MODEL 3,2019,23.900 €,155.307 kms
175,TESLA - MODEL Y,2021,32.650 €,96.000 kms
176,TESLA - MODEL 3,2023,37.990 €,12 kms
177,TESLA - MODEL Y,2022,38.900 €,42.000 kms
178,TESLA - MODEL 3,2019,25.975 €,115.000 kms
179,TESLA - MODEL S 85 D,2015,29.900 €,180.000 kms
180,TESLA - MODEL 3,2019,24.990 €,180.000 kms
181,TESLA MODEL S,2017,33.900 €,188.000 kms
182,TESLA - MODEL 3,2021,30.950 €,51.600 kms
183,TESLA - MODEL 3,2022,34.000 €,66.000 kms
184,TESLA - MODEL 3,2019,24.900 €,128.000 kms
185,TESLA - MODEL 3,2019,25.490 €,87.000 kms
186,TESLA - MODEL 3,2022,30.870 €,40.510 kms
187,TESLA - MODEL 3,2021,31.990 €,123.603 kms
188,TESLA - MODEL 3,2021,31.900 €,69.800 kms
189,TESLA - MODEL 3,2020,23.950 €,155.000 kms
190,TESLA - MODEL 3,2020,26.490 €,49.990 kms
191,TESLA - MODEL 3,2023,31.700 €,10.500 kms
192,TESLA - MODEL 3,2020,21.190 €,128.500 kms
193,TESLA - MODEL 3,2022,33.500 €,31.000 kms
194,TESLA - MODEL 3,2022,31.500 €,49.990 kms
195,TESLA - MODEL 3,2019,22.900 €,75.000 kms
196,TESLA - MODEL 3,2021,36.300 €,59.990 kms
197,TESLA MODEL 3,2019,21.199 €,143.000 kms
198,TESLA - MODEL 3,2021,35.500 €,46.500 kms
199,TESLA - MODEL 3,2022,27.950 €,54.000 kms
200,TESLA - MODEL 3,2023,30.990 €,45.825 kms
201,TESLA - MODEL 3,2021,33.990 €,42.901 kms
202,TESLA MODEL 3,2023,28.500 €,27.500 kms
203,TESLA - MODEL X 100D 4WD,2019,54.990 €,85.000 kms
204,TESLA - MODEL X 100D 4WD,2018,41.790 €,97.469 kms
205,TESLA - MODEL S 90D 4WD,2017,27.995 €,114.000 kms
206,TESLA MODEL 3,2023,40.990 €,29.000 kms
