,sell_type,car_type,year,color,country,traction,price,km,range,max_vel,zero_hundred
0,Nuevo,Model S,2025,WHITE,spain,"Model S, tracción a las cuatro ruedas",99.600 €,Cuentakilómetros con 503 km,634,250,"3,2"
1,Nuevo,Model S,2025,WHITE,spain,"Model S, tracción a las cuatro ruedas",102.270 €,Cuentakilómetros con 99 km,634,250,"3,2"
2,Nuevo,Model S,2025,WHITE,spain,"Model S, tracción a las cuatro ruedas",102.270 €,0,634,250,"3,2"
3,Nuevo,Model S,2025,BLACK,spain,"Model S, tracción a las cuatro ruedas",90.130 €,Cuentakilómetros con 662 km,634,250,"3,2"
4,Nuevo,Model S,2025,BLACK,spain,Plaid,100.620 €,Cuentakilómetros con 3652 km,600,322,"2,1"
5,Nuevo,Model S,2025,BLUE,spain,"Model S, tracción a las cuatro ruedas",89.800 €,Cuentakilómetros con 1116 km,634,250,"3,2"
6,Nuevo,Model S,2025,GREY,spain,"Model S, tracción a las cuatro ruedas",90.270 €,Cuentakilómetros con 1816 km,634,250,"3,2"
7,Nuevo,Model S,2025,GREY,spain,"Model S, tracción a las cuatro ruedas",91.430 €,Cuentakilómetros con 27 km,634,250,"3,2"
8,Nuevo,Model S,2025,GREY,spain,Plaid,119.870 €,0,600,322,"2,1"
9,Nuevo,Model S,2025,SILVER,spain,Plaid,110.580 €,Cuentakilómetros con 25 km,600,322,"2,1"
10,Nuevo,Model 3,2025,WHITE,spain,Model 3 Tracción trasera,38.070 €,0,513,201,"6,1"
11,Nuevo,Model 3,2025,WHITE,spain,Model 3 Tracción trasera,38.870 €,0,513,201,"6,1"
12,Nuevo,Model 3,2025,WHITE,spain,Model 3 Tracción trasera,39.420 €,0,513,201,"6,1"
13,Nuevo,Model 3,2025,WHITE,spain,Model 3 Gran autonomía con tracción trasera,47.860 €,Cuentakilómetros con 1385 km,702,201,"5,2"
14,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,48.760 €,0,629,201,"4,4"
15,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,48.760 €,0,629,201,"4,4"
16,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,49.810 €,0,629,201,"4,4"
17,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,50.110 €,0,629,201,"4,4"
18,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,51.160 €,0,629,201,"4,4"
19,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,51.410 €,0,629,201,"4,4"
20,Nuevo,Model 3,2025,WHITE,spain,Gran autonomía con tracción integral,51.710 €,0,629,201,"4,4"
21,Nuevo,Model 3,2025,WHITE,spain,Performance con tracción a las cuatro ruedas,58.470 €,0,528,262,"3,1"
22,Nuevo,Model 3,2025,BLACK,spain,Model 3 Gran autonomía con tracción trasera,44.370 €,0,640,201,"5,2"
23,Nuevo,Model 3,2025,BLACK,spain,Gran autonomía con tracción integral,50.060 €,0,629,201,"4,4"
24,Nuevo,Model 3,2025,BLACK,spain,Gran autonomía con tracción integral,50.060 €,0,629,201,"4,4"
25,Nuevo,Model 3,2025,BLACK,spain,Gran autonomía con tracción integral,51.110 €,0,629,201,"4,4"
26,Nuevo,Model 3,2025,BLACK,spain,Gran autonomía con tracción integral,51.410 €,0,629,201,"4,4"
27,Nuevo,Model 3,2025,BLACK,spain,Gran autonomía con tracción integral,51.660 €,0,629,201,"4,4"
28,Nuevo,Model 3,2025,BLACK,spain,Performance con tracción a las cuatro ruedas,55.170 €,Cuentakilómetros con 1725 km,528,262,"3,1"
29,Nuevo,Model 3,2025,BLACK,spain,Performance con tracción a las cuatro ruedas,59.770 €,0,528,262,"3,1"
30,Nuevo,Model 3,2025,BLACK,spain,Performance con tracción a las cuatro ruedas,60.820 €,0,528,262,"3,1"
31,Nuevo,Model 3,2025,BLUE,spain,Model 3 Tracción trasera,36.030 €,Cuentakilómetros con 6578 km,513,201,"6,1"
32,Nuevo,Model 3,2025,BLUE,spain,Model 3 Tracción trasera,37.770 €,0,513,201,"6,1"
33,Nuevo,Model 3,2025,BLUE,spain,Model 3 Tracción trasera,39.120 €,0,513,201,"6,1"
34,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,48.860 €,Cuentakilómetros con 27 km,629,201,"4,4"
35,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,49.680 €,Cuentakilómetros con 3411 km,629,201,"4,4"
36,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,50.060 €,0,629,201,"4,4"
37,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,50.060 €,0,629,201,"4,4"
38,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,51.110 €,0,629,201,"4,4"
39,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,51.110 €,0,629,201,"4,4"
40,Nuevo,Model 3,2025,BLUE,spain,Gran autonomía con tracción integral,51.410 €,0,629,201,"4,4"
