,year,km,range,max_vel,zero_hundred,high_range,performance,four_wheel_drive,rear_wheel_drive,sell_type_Nuevo,sell_type_Ocasion,car_type_Model 3,car_type_Model S,car_type_Model X,car_type_Model Y,color_BLACK,color_BLUE,color_CHERRY,color_GREY,color_RED,color_SILVER,color_WHITE,country_france,country_italy,country_portugal,country_spain,predicted_price,real_price
536,2020,44.0,530.0,261.0,3.4,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,32219.435634585647,32500.0
969,2025,4642.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,45070.27973517066,43970.0
627,2024,815.0,528.0,262.0,3.1,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,57634.45015151515,57285.0
219,2024,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,52860.67090292571,52715.0
1144,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,43524.101168229834,44675.0
1582,2018,91.0,565.0,249.0,4.9,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,45750.66666666667,43000.0
37,2024,0.0,528.0,262.0,3.1,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,59587.305880952386,59770.0
1823,2020,54.0,487.0,261.0,2.8,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,58934.66666666666,60600.0
1572,2023,28.0,547.0,261.0,3.3,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,45368.46997234791,42200.0
686,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,51257.87297709204,48975.0
554,2019,65.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,31207.650291882106,29400.0
98,2024,967.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,48044.47015989386,49440.0
952,2025,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,122496.60170026598,124470.0
734,2024,0.0,455.0,217.0,6.9,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,42874.59696732913,43625.0
823,2020,119.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,27775.181556837782,27900.0
760,2020,39.0,409.0,225.0,5.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,30544.96277056277,28900.0
