,year,km,range,max_vel,zero_hundred,high_range,performance,four_wheel_drive,rear_wheel_drive,sell_type_Nuevo,sell_type_Ocasion,car_type_Model 3,car_type_Model S,car_type_Model X,car_type_Model Y,color_BLACK,color_BLUE,color_CHERRY,color_GREY,color_RED,color_SILVER,color_WHITE,country_france,country_italy,country_portugal,country_spain,predicted_price,real_price
536,2020,44.0,530.0,261.0,3.4,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,32114.428,32500.0
969,2025,4642.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,44335.777,43970.0
627,2024,815.0,528.0,262.0,3.1,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,52500.188,57285.0
219,2024,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,54679.78,52715.0
1144,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,43297.26,44675.0
1582,2018,91.0,565.0,249.0,4.9,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,44198.992,43000.0
37,2024,0.0,528.0,262.0,3.1,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,59204.93,59770.0
1823,2020,54.0,487.0,261.0,2.8,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,61854.105,60600.0
1572,2023,28.0,547.0,261.0,3.3,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,45037.324,42200.0
686,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,50618.04,48975.0
554,2019,65.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,30805.918,29400.0
98,2024,967.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,50975.586,49440.0
952,2025,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,122654.31,124470.0
734,2024,0.0,455.0,217.0,6.9,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,42606.72,43625.0
823,2020,119.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,27623.664,27900.0
760,2020,39.0,409.0,225.0,5.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,30262.287,28900.0
1590,2024,17.0,455.0,217.0,6.9,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,39784.39,40000.0
1383,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,43407.39,45790.0
631,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,52033.016,51275.0
53,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,49560.062,45650.0
182,2022,37.0,602.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,34940.26,39500.0
176,2023,29.0,547.0,261.0,3.3,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,41350.008,42300.0
371,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,52286.69,56280.0
122,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,53236.34,53060.0
959,2025,25.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,114078.69,118920.0
487,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,54192.83,52690.0
310,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,41435.938,39990.0
1431,2025,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,121750.195,116590.0
807,2023,18.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,35261.445,35700.0
889,2025,27.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,47856.297,48860.0
1420,2025,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,114785.69,108190.0
669,2024,2.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,112629.27,108685.0
1575,2021,136.0,580.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,29474.285,28300.0
1620,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,48528.934,47675.0
13,2024,17.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,92202.22,97500.0
418,2024,0.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,124631.94,117590.0
842,2019,116.0,487.0,261.0,3.6,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,51502.098,53300.0
1168,2025,0.0,629.0,201.0,4.4,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,54817.742,51975.0
777,2020,49.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,32137.807,32300.0
878,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,46101.984,44370.0
1647,2025,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,51403.58,52975.0
278,2021,40.0,580.0,233.0,4.4,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,35379.88,35900.0
964,2025,9771.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,41954.934,41760.0
656,2024,6.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,108634.02,109135.0
307,2024,0.0,600.0,322.0,2.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,118341.375,121690.0
1749,2020,39.0,409.0,225.0,5.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,30262.287,28500.0
1571,2023,32.0,620.0,233.0,5.9,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,38249.426,41100.0
51,2024,6630.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,44962.46,43920.0
472,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,52456.566,55390.0
1596,2023,23.0,455.0,217.0,6.9,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,38604.062,39500.0
179,2020,73.0,560.0,233.0,4.6,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,30875.037,32400.0
699,2024,4.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,53325.05,55585.0
1556,2019,51.0,530.0,261.0,3.4,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,31405.074,31100.0
642,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,43595.727,44675.0
345,2024,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,59976.984,62590.0
1036,2023,15.0,600.0,322.0,2.1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,87717.92,83200.0
724,2024,13.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,48946.527,47895.0
806,2023,19.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,36165.242,35500.0
1540,2020,61.0,530.0,261.0,3.4,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,31307.844,31200.0
496,2024,86.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,53732.656,63050.0
96,2024,7086.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,49481.676,48010.0
1140,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,60416.156,63575.0
1481,2025,0.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,49330.2,49740.0
1207,2025,0.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,116460.24,123025.0
1826,2023,61.0,514.0,250.0,3.7,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,43432.516,45000.0
69,2024,0.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,111962.36,115670.0
907,2025,15.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,50192.18,50090.0
1212,2025,5372.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,49095.605,48865.0
1412,2025,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,110666.51,107790.0
417,2024,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,115044.4,112790.0
89,2024,8298.0,565.0,217.0,5.9,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,45113.906,45420.0
594,2024,1.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,91603.58,93265.0
1767,2021,77.0,580.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,32310.96,32600.0
936,2025,4261.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,100947.01,100080.0
783,2021,46.0,580.0,233.0,4.4,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,34297.94,34100.0
1020,2025,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,55028.645,56080.0
611,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,42969.324,43625.0
55,2024,13.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,47401.914,46990.0
697,2024,0.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,56007.043,54975.0
1669,2025,1.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,102990.766,103095.0
1569,2022,49.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,31239.365,33200.0
857,2025,503.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,97162.36,99600.0
1283,2025,21.0,600.0,322.0,2.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,104639.62,101880.0
157,2024,4260.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,52241.723,52850.0
202,2024,23.0,634.0,250.0,3.2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,94780.53,95885.0
1308,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,58609.32,58680.0
238,2024,12.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,51628.996,51655.0
1574,2019,78.0,409.0,225.0,5.6,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,27089.857,25800.0
1039,2018,70.0,490.0,225.0,4.4,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,32528.707,31000.0
1634,2025,0.0,640.0,201.0,5.2,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,49207.61,48975.0
1131,2025,0.0,528.0,262.0,3.1,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,59338.63,60975.0
1373,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,43407.39,41680.0
85,2024,0.0,455.0,217.0,6.9,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,44478.652,44260.0
1466,2025,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,55010.785,55440.0
462,2024,0.0,533.0,217.0,5.0,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,52456.566,51390.0
1780,2023,17.0,491.0,225.0,6.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,36596.934,35200.0
405,2024,0.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,109482.875,117090.0
1831,2023,48.0,533.0,217.0,5.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,44789.586,43000.0
602,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,42437.855,46475.0
431,2024,0.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,43989.086,44280.0
1435,2025,86.0,576.0,250.0,3.9,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,111877.13,109290.0
209,2024,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,42709.367,43975.0
159,2024,0.0,514.0,250.0,3.7,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,60011.83,58920.0
921,2025,1214.0,576.0,250.0,3.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,104340.336,100380.0
1247,2025,5024.0,430.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,44982.98,45525.0
904,2025,7286.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,45634.32,46910.0
65,2024,34.0,543.0,262.0,2.6,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,111470.4,106050.0
1066,2023,20.0,543.0,262.0,2.6,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,83285.984,82000.0
1299,2025,13.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,50874.715,49330.0
1210,2025,3749.0,455.0,217.0,6.9,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,42010.086,42605.0
1349,2025,0.0,513.0,201.0,6.1,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,43010.992,42640.0
447,2024,0.0,514.0,250.0,3.7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,57618.37,53990.0
1530,2019,90.0,593.0,261.0,3.2,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,47140.3,43200.0
239,2024,0.0,533.0,217.0,5.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,52973.797,51655.0
341,2024,0.0,629.0,201.0,4.4,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,51968.32,51290.0
1262,2019,64.0,542.0,249.0,3.0,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,54593.95,55000.0
